COUNTRY,EDATE,PARTY,PERVOTE,VOTEEST,PRESVOTE,ABSSEAT,TOTSEATS,PROGTYPE,PER101,PER102,PER103,PER104,PER105,PER106,PER107,PER108,PER109,PER110,PER201,PER202,PER203,PER204,PER301,PER302,PER303,PER304,PER305,PER401,PER402,PER403,PER404,PER405,PER406,PER407,PER408,PER409,PER410,PER411,PER412,PER413,PER414,PER415,PER416,PER501,PER502,PER503,PER504,PER505,PER506,PER507,PER601,PER602,PER603,PER604,PER605,PER606,PER607,PER608,PER701,PER702,PER703,PER704,PER705,PER706,PERUNCOD,TOTAL,RILE,PLANECO,MARKECO,WELFARE,INTPEACE
11,19/9/1976,11220,4.75255565355364,0,99.99,17,349,1,0,0,0,0,2.7,6.5,1.6,0,0,0,1.1,2.7,0.5,0,0,0.5,0,0,0,0,1.6,13.5,0.5,0,0.5,0,2.7,0,0.5,1.1,5.4,4.9,0,0,0,11.9,1.6,10.8,2.7,0.5,0.5,0,0,0,0,0,1.1,0,0,0,1.6,0,0,0,2.7,5.4,99.99,185,-38.3,19.4,0,13.5,9.2
11,19/9/1976,11320,42.7493697758704,0,99.99,152,349,1,0,0,0,0,0,8.6,4.3,0,0,0,0,4.3,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,14.3,0,4.3,4.3,0,0,10,0,0,4.3,0,5.7,10,0,2.9,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,1.4,99.99,70,-11.5,0,10,15.7,8.6
11,19/9/1976,11420,11.0625942945499,0,99.99,39,349,1,0,0,0,0,0,0.7,2.8,0,0,0,7,7.7,1.4,0,5.6,0,0.7,0,0,2.1,2.1,6.3,0,0,0,0.7,0.7,3.5,1.4,2.1,0,0,3.5,0,0,11.2,4.2,3.5,0,0,0,0,0,0,1.4,0,0,0,4.2,0,2.8,0,0,0,0,18.9,99.99,143,-2.1,6.3,5.6,3.5,0.7
11,19/9/1976,11620,15.5886591287423,0,99.99,55,349,1,0,0,0,1,0,1.9,0,0,0,0,10.7,7.8,0,1,1,0,1,0,0,8.7,4.9,1.9,0,0,0,0,2.9,0,2.9,0,0,0,3.9,0,0,1,4.9,2.9,12.6,0,8.7,0,0,0,1,0,4.9,0,1,0,0,0,1.9,0,0,3.9,99.99,103,2.2,1.9,12.6,15.5,1.9
11,19/9/1976,11810,24.0847681797685,0,99.99,86,349,1,0.3,0,0,0.3,0,1.3,1,0,0,0,2,3,0,0,15.2,0,0.7,0,0,0.7,4.4,3.7,1,0,0,0,2.4,0,1.3,0,1,0,0.7,0,0,17.2,0.7,5.1,17.6,0,3.4,0,0,0,4.4,0,2,0,1.3,0,0.7,0,4.4,0,0.7,0.7,99.99,296,-18.2,5.7,1.4,22.7,1.3
11,16/9/1979,11220,5.60543754237298,0,99.99,20,349,1,0,0,0,0,1.2,3.7,4.9,0,0,0,0,6.6,1.2,0,0,0.4,0.8,0,0,0,0,4.9,0.4,0,0.4,0,5.4,0,1.7,1.2,10.3,4.1,0,0,0,7.4,0.8,14.4,10.3,0,1.7,0,0,0,1.7,0,0.8,0,0,0,2.5,0,0,0,1.7,4.1,99.99,243,-47.3,15.6,0,24.7,4.9
11,16/9/1979,11320,43.2444585233961,0,99.99,154,349,1,0,0,0,0,0,4.6,4,0,0,0,0,3.3,0,0,1.3,0,0,0,0,0,0.7,4,0,0,0,0,6,0,4,0.7,0.7,0,9.9,0,0,7.3,0,7.3,15.2,0,2.7,0,0,0,1.3,0,2,5.3,0.7,0,0,0,0,0,1.3,3.3,99.99,151,-15.3,4.7,9.9,22.5,4.6
11,16/9/1979,11420,10.5909586946316,0,99.99,38,349,1,0.2,0,0,0,0,0.9,3.7,0.2,0,0,1.5,2,0.2,0,1.7,0.2,3.7,0,0,1.3,1.5,1.7,0,0.4,0,1.3,4.6,5.2,3,0.2,0.4,0,1.7,0,0,12.5,0.9,7.6,12.5,0,5.6,0,0,0,3,0,1.1,0,2.2,0,0,0,0,0,3.3,4.8,99.99,462,-15.2,2.1,3,20.1,0.9
11,16/9/1979,11620,20.3428086064811,0,99.99,73,349,1,0.8,0,0,0.8,0,0,0.8,0.8,0,0,10.3,1.6,0,0.8,0,1.6,2.4,0,0,10.3,8.7,0,0,0,0,0,3.2,0,0.8,0,0,0,4.8,0,0,12.7,4.8,4.8,7.1,0,7.1,0,0,0,1.6,0,3.2,0,0.8,0,0,0,0.8,0,0,1.6,99.99,127,23.1,0,15.1,11.9,0
11,16/9/1979,11810,18.0703691454635,0,99.99,64,349,1,0.4,0,0,0.4,0,1.8,3.6,0,0,0,1.8,2.9,0,0,6.4,0,0,0,0,1.1,5.4,1.8,1.4,0,0,0,1.8,0,2.1,2.5,0,0,0.7,0,0,14.3,3.2,4.6,7.9,0,7.1,0,0,0,6.8,0,1.8,0.4,2.9,0,0,0,10,0,1.8,3.2,99.99,280,-8.1,3.2,1.8,12.5,1.8
